title,url,category,directions,description
Commissions,https://REPLACE-ME,administrative/commissions,"Administrative column, click Commissions.",Commission statements payouts and earnings reports for brokers.
NVHL,https://REPLACE-ME,administrative/nvhl,"Administrative column, click NVHL.",NVHL administrative resources.
PH Logo,https://REPLACE-ME,administrative/ph-logo,"Administrative column, click PH Logo.",ProtectHealth logo and brand assets.
ACA Training,https://REPLACE-ME,support-training/aca,"Support & Training column, click ACA Item.",ACA marketplace training course and certification materials.
Life Insurance Training,https://REPLACE-ME,support-training/life-insurance-related,"Support & Training column, click Life Insurance & Related Item.",Life insurance product training and related materials.
SEG Training,https://REPLACE-ME,support-training/seg,"Support & Training column, click SEG Item.",SEG training resources.
Voluntary & Ancillary Training,https://REPLACE-ME,support-training/voluntary-ancillary,"Support & Training column, click Voluntary & Ancillary Item.",Voluntary and ancillary product training.
ACA Directory,https://REPLACE-ME,directory/aca,"Directory column, click ACA.",ACA plan directory and carrier resources.
Dental & Vision,https://REPLACE-ME,directory/dental-vision,"Directory column, click Dental & Vision.",Dental and vision plan directory.
Life Insurance Directory,https://REPLACE-ME,directory/life-insurance-related,"Directory column, click Life Insurance & Related.",Life insurance and related plan directory.
Off-Exchange,https://REPLACE-ME,directory/off-exchange,"Directory column, click Off-Exchange.",Off-exchange private plan directory.
SEG Directory,https://REPLACE-ME,directory/seg,"Directory column, click SEG.",SEG plan directory.
Voluntary & Ancillary Directory,https://REPLACE-ME,directory/voluntary-ancillary,"Directory column, click Voluntary & Ancillary.",Voluntary and ancillary plan directory.
Aetna Producer World,https://REPLACE-ME,carriers/aetna,"Carrier links section, click Aetna Producer World.",Aetna broker producer portal login.
Ambetter Broker Portal,https://REPLACE-ME,carriers/ambetter,"Carrier links section, click Ambetter Broker Portal.",Ambetter broker portal login.
Anthem Broker Toolbox,https://REPLACE-ME,carriers/anthem,"Carrier links section, click Anthem Broker Toolbox.",Anthem broker toolbox and producer login.
CareSource,https://REPLACE-ME,carriers/caresource,"Carrier links section, click CareSource.",CareSource broker portal.
Evolve (Molina and HomeTown),https://REPLACE-ME,carriers/evolve-molina-hometown,"Carrier links section, click Evolve.",Evolve portal for Molina and HomeTown plans.
Get Appointed to Sell Clearwater PPO,https://REPLACE-ME,carriers/clearwater-ppo,"Carrier links section, click Get Appointed to Sell Clearwater PPO.",Appointment request to sell Clearwater PPO.
Health Plan of Nevada Broker Portal,https://REPLACE-ME,carriers/health-plan-of-nevada,"Carrier links section, click Health Plan of Nevada Broker Portal.",Health Plan of Nevada broker portal login.
Meeting Room Reservations,https://REPLACE-ME,portal-meta/meeting-room-reservations,"Carrier links section, click Meeting Room Reservations.",Reserve a meeting room or book time.
Nevada Health Link Broker Login,https://REPLACE-ME,carriers/nevada-health-link,"Carrier links section, click Nevada Health Link Broker Login.",Nevada Health Link state exchange broker login.
New Era Documents & Training,https://REPLACE-ME,carriers/new-era,"Carrier links section, click New Era Documents & Training.",New Era documents and training library.
PALIC/New Era Broker Login,https://REPLACE-ME,carriers/palic-new-era,"Carrier links section, click PALIC/New Era Broker Login.",PALIC and New Era broker login.
ProtectHealth,https://REPLACE-ME,carriers/protecthealth,"Carrier links section, click ProtectHealth.",ProtectHealth broker portal.
SelectHealth Broker Portal,https://REPLACE-ME,carriers/selecthealth,"Carrier links section, click SelectHealth Broker Portal.",SelectHealth broker portal login.
Open a Ticket,https://REPLACE-ME,portal-meta/open-a-ticket,"Click Open a Ticket at the bottom of the page.",Submit a support ticket to the B&G team.
